White,Black/Afr.Amer.,Hispanic,Asian,Other/Mixed
White,0,0.195846479751849,0.328645039402191,0,0
Black/Afr.Amer.,-0.195862388409124,0,0,0,0
Hispanic,-0.328638737973981,0,0,0,0
Asian,0,0,0,0,0
Other/Mixed,0,0,0,0,0
