White,Black/Afr.Amer.,Hispanic,Asian,Other/Mixed
White,0,0,0.150888977366118,-0.437502385610994,0
Black/Afr.Amer.,0,0,0,-0.518678044668718,0
Hispanic,-0.150935665964612,0,0,-0.588494136667469,0
Asian,0.437502381267623,0.518801387841702,0.588333999779406,0,0.444898239596981
Other/Mixed,0,0,0,-0.444881904968019,0
