White,Black/Afr.Amer.,Hispanic,Asian,Other/Mixed
White,0,7566.4794738476,2361.77551053,0,1479.18487281952
Black/Afr.Amer.,-7566.47947384761,0,-5204.7039633176,-7701.87452084179,-6087.29460102808
Hispanic,-2361.77551053,5204.70396331761,0,0,0
Asian,0,7701.87452084185,0,0,0
Other/Mixed,-1479.18487281952,6087.29460102811,0,0,0
