White,Black/Afr.Amer.,Hispanic,Asian,Other/Mixed
White,0,0.0426253184541567,0.0294877678058104,0,0.0181588083658839
Black/Afr.Amer.,-0.0426253184541581,0,0,0,-0.0244665100882725
Hispanic,-0.0294877678058101,0,0,0,0
Asian,0,0,0,0,0
Other/Mixed,-0.0181588083658835,0.024466510088273,0,0,0
