White,Black/Afr.Amer.,Hispanic,Asian,Other/Mixed
White,-,7741.966 [6357.031 9126.900],2249.836 [1121.655 3378.018],n.s.,1632.153 [298.812 2965.494]
Black/Afr.Amer.,-7741.966 [-9126.900 -6357.031],-,-5492.129 [-7088.384 -3895.875],-7915.434 [-11321.606 -4509.262],-6109.812 [-7860.159 -4359.465]
Hispanic,-2249.836 [-3378.018 -1121.655],5492.129 [3895.875 7088.384],-,n.s.,n.s.
Asian,n.s.,7915.434 [4509.262 11321.606],n.s.,-,n.s.
Other/Mixed,-1632.153 [-2965.494 -298.812],6109.812 [4359.465 7860.159],n.s.,n.s.,-
