White,Black/Afr.Amer.,Hispanic,Asian,Other/Mixed
White,0,0.0586488183356344,0.0696864353270138,0.157640055675743,0
Black/Afr.Amer.,-0.0586485049292715,0,0,0,-0.0843717706412581
Hispanic,-0.0696872028944753,0,0,0,-0.0954094974172672
Asian,-0.157647830612388,0,0,0,-0.183365499860005
Other/Mixed,0,0.0843718970552361,0.095406874076379,0.183363629318352,0
