V1,V2,V3,V4,V5
1,0,72675.9599910928,40557.1301637385,55658.7273416124,29587.35026982
2,-72675.9599910924,0,-32118.8298273541,0,-43088.6097212726
3,-40557.1301637383,32118.8298273542,0,0,0
4,-55658.7273416119,0,0,0,0
5,-29587.35026982,43088.6097212729,0,0,0
