White,Black/Afr.Amer.,Hispanic,Asian,Other/Mixed
White,-,0.196 [0.055 0.196],0.329 [0.053 0.329],n.s.,n.s.
Black/Afr.Amer.,-0.196 [-0.055 -0.196],-,n.s.,n.s.,n.s.
Hispanic,-0.329 [-0.532 -0.126],n.s.,-,n.s.,n.s.
Asian,n.s.,n.s.,n.s.,-,n.s.
Other/Mixed,n.s.,n.s.,n.s.,n.s.,-
