White,Black/Afr.Amer.,Hispanic,Asian,Other/Mixed
White,-,7566.479 [6174.690 8958.269],2361.776 [1225.943 3497.608],n.s.,1479.185 [135.155 2823.215]
Black/Afr.Amer.,-7566.479 [-8958.269 -6174.690],-,-5204.704 [-6812.144 -3597.264],-7701.875 [-11147.454 -4256.295],-6087.295 [-7857.792 -4316.797]
Hispanic,-2361.776 [-3497.608 -1225.943],5204.704 [3597.264 6812.144],-,n.s.,n.s.
Asian,n.s.,7701.875 [4256.295 11147.454],n.s.,-,n.s.
Other/Mixed,-1479.185 [-2823.215 -135.155],6087.295 [4316.797 7857.792],n.s.,n.s.,-
