White,Black/Afr.Amer.,Hispanic,Asian,Other/Mixed
White,-,0.046 [0.032 0.059],0.035 [0.024 0.046],n.s.,0.022 [0.009 0.035]
Black/Afr.Amer.,-0.046 [-0.059 -0.032],-,n.s.,n.s.,-0.024 [-0.041 -0.007]
Hispanic,-0.035 [-0.046 -0.024],n.s.,-,n.s.,n.s.
Asian,n.s.,n.s.,n.s.,-,n.s.
Other/Mixed,-0.022 [-0.035 -0.009],0.024 [0.007 0.041],n.s.,n.s.,-
