White,Black/Afr.Amer.,Hispanic,Asian,Other/Mixed
White,-,-0.866 [-1.114 -0.617],-0.351 [-0.608 -0.094],-1.180 [-1.687 -0.672],n.s.
Black/Afr.Amer.,0.866 [0.617 1.114],-,0.515 [0.240 0.790],n.s.,0.812 [0.367 1.257]
Hispanic,0.351 [0.094 0.608],-0.515 [-0.790 -0.240],-,-0.829 [-1.349 -0.310],n.s.
Asian,1.180 [0.672 1.687],n.s.,0.829 [0.310 1.349],-,1.126 [0.501 1.751]
Other/Mixed,n.s.,-0.812 [-1.256 -0.367],n.s.,-1.126 [-1.751 -0.501],-
