White,Black/Afr.Amer.,Hispanic,Asian,Other/Mixed
White,-,0.243 [0.039 0.446],0.270 [0.071 0.469],n.s.,n.s.
Black/Afr.Amer.,-0.243 [-0.446 -0.039],-,n.s.,-0.798 [-1.379 -0.217],n.s.
Hispanic,-0.270 [-0.469 -0.071],n.s.,-,-0.826 [-1.405 -0.246],n.s.
Asian,n.s.,0.798 [0.217 1.379],0.826 [0.246 1.405],-,0.752 [0.149 1.355]
Other/Mixed,n.s.,n.s.,n.s.,-0.752 [-1.355 -0.149],-
