White,Black/Afr.Amer.,Hispanic,Asian,Other/Mixed
White,-,-0.119 [-0.185 -0.053],0.099 [0.039 0.159],n.s.,-0.090 [-0.159 -0.021]
Black/Afr.Amer.,0.119 [0.053 0.185],-,0.218 [0.146 0.290],0.325 [0.102 0.549],n.s.
Hispanic,-0.099 [-0.159 -0.039],-0.218 [-0.290 -0.146],-,n.s.,-0.189 [-0.268 -0.111]
Asian,n.s.,-0.325 [-0.549 -0.102],n.s.,-,-0.296 [-0.520 -0.072]
Other/Mixed,0.090 [0.021 0.159],n.s.,0.189 [0.111 0.268],0.296 [0.072 0.520],-
