White,Black/Afr.Amer.,Hispanic,Asian,Other/Mixed
White,-,0.043 [0.029 0.056],0.029 [0.018 0.041],n.s.,0.018 [0.005 0.031]
Black/Afr.Amer.,-0.043 [-0.056 -0.029],-,n.s.,n.s.,-0.024 [-0.042 -0.007]
Hispanic,-0.029 [-0.041 -0.018],n.s.,-,n.s.,n.s.
Asian,n.s.,n.s.,n.s.,-,n.s.
Other/Mixed,-0.018 [-0.031 -0.005],0.024 [0.007 0.042],n.s.,n.s.,-
