White,Black/Afr.Amer.,Hispanic,Asian,Other/Mixed
White,0,0.24252247998084,0.270121653626186,0,0
Black/Afr.Amer.,-0.242521746949705,0,0,-0.7980944471111,0
Hispanic,-0.270121819594056,0,0,-0.825721154112996,0
Asian,0,0.797973492647293,0.82571577789128,0,0.751983201011981
Other/Mixed,0,0,0,-0.751964608579459,0
