White,Black/Afr.Amer.,Hispanic,Asian,Other/Mixed
White,0,7741.96564284505,2249.83618594016,0,1632.15327041866
Black/Afr.Amer.,-7741.96564284501,0,-5492.12945690486,-7915.43406717471,-6109.81237242636
Hispanic,-2249.83618594013,5492.12945690491,0,0,0
Asian,0,7915.43406717502,0,0,0
Other/Mixed,-1632.15327041861,6109.81237242645,0,0,0
