White,Black/Afr.Amer.,Hispanic,Asian,Other/Mixed
White,-,-0.428 [-0.634 -0.222],-0.232 [-0.419 -0.046],n.s.,n.s.
Black/Afr.Amer.,0.428 [0.222 0.634],-,n.s.,n.s.,0.505 [0.189 0.821]
Hispanic,0.232 [0.046 0.419],n.s.,-,n.s.,0.310 [0.004 0.615]
Asian,n.s.,n.s.,n.s.,-,n.s.
Other/Mixed,n.s.,-0.505 [-0.821 -0.189],-0.310 [-0.615 -0.004],n.s.,-
