White,Black/Afr.Amer.,Hispanic,Asian,Other/Mixed
White,0,0.261699676320981,0,0.233808852523279,0.0552934380560117
Black/Afr.Amer.,-0.261700043584456,0,-0.285207313238997,0,-0.206406443296588
Hispanic,0,0.28520449857144,0,0.257312931214076,0.0787987612007549
Asian,-0.233809957420258,0,-0.257298736147379,0,-0.178506229438156
Other/Mixed,-0.0552939187290518,0.206410066066351,-0.078800632243687,0.178514770450496,0
