White,Black/Afr.Amer.,Hispanic,Asian,Other/Mixed
White,-,n.s.,0.151 [0.018 0.284],-0.438 [-0.754 -0.121],n.s.
Black/Afr.Amer.,n.s.,-,n.s.,-0.519 [-0.854 -0.183],n.s.
Hispanic,-0.151 [-0.284 -0.018],n.s.,-,-0.588 [-0.918 -0.259],n.s.
Asian,0.438 [0.121 0.754],0.519 [0.183 0.854],0.588 [0.259 0.918],-,0.445 [0.100 0.790]
Other/Mixed,n.s.,n.s.,n.s.,-0.445 [-0.790 -0.100],-
