White,Black/Afr.Amer.,Hispanic,Asian,Other/Mixed
White,-,0.145 [0.084 0.206],n.s.,0.267 [0.128 0.405],n.s.
Black/Afr.Amer.,-0.145 [-0.206 -0.084],-,-0.143 [-0.208 -0.078],n.s.,-0.144 [-0.217 -0.071]
Hispanic,n.s.,0.143 [0.078 0.208],-,0.265 [0.122 0.408],n.s.
Asian,-0.267 [-0.405 -0.128],n.s.,-0.265 [-0.408 -0.122],-,-0.266 [-0.411 -0.120]
Other/Mixed,n.s.,0.144 [0.071 0.217],n.s.,0.266 [0.120 0.412],-
