Model for with_depr,Pearson corr.,Spearman corr.,MSE,MAE,AIC,Df
1,Poisson,0.553931861256004,0.502622654662729,481.74768611888,15.451599228931,64158.1755070296,26
2,Poisson with overdispersion,0.552641046131504,0.502813222260816,481.761659063515,15.4511782283794,NA,22
3,Negative Binomial,0.566995703724438,0.523312784668281,480.968798109078,15.4809962621475,57040.4962014709,30
4,Zero Inflated Poisson,0.550443717233756,0.524148688956502,442.941199091774,14.3928581214632,58565.4551933984,44
5,Zero Inflated Negative Binomial,0.529330636402671,0.53266114090456,441.312957252359,14.3793893148235,56665.244399297,36
