"","Estimate","Std. Error","2.5 %","97.5 %","Pr(>|t|)","pAdj_bonf","pAdj_fdr"
"social_activities_time.34",1.080178630889e-07,8.91022723663262e-08,-6.67368897702472e-08,2.82772615948048e-07,0.225560186977795,1,0.406307091774571
"tv_time.35",-2.32021860187588e-08,7.57885746619894e-08,-1.71845627741188e-07,1.2544125570367e-07,0.75953094525326,1,0.810166341603478
"video_time.35",1.48481040273868e-07,7.63606188456144e-08,-1.28434649965252e-09,2.98246427047389e-07,0.0519951768113346,1,0.310373407580147
"videogames_time.35",4.14044015288989e-09,7.74543436969785e-08,-1.47770059217473e-07,1.56050939523253e-07,0.957374136573468,1,0.975302491190949
"social_activities_time.35",1.56249313599362e-07,8.97254815470445e-08,-1.97284567550396e-08,3.32227083953764e-07,0.081782721815548,1,0.310373407580147
"tv_time.36",5.25058220509218e-08,6.83215697753209e-08,-8.14925496422008e-08,1.86504193744044e-07,0.442285464493792,1,0.548437213752377
"video_time.36",1.16462866823016e-07,6.87795477000147e-08,-1.84337321266254e-08,2.51359465772658e-07,0.0905765396695481,1,0.310373407580147
"videogames_time.36",-7.86732400726506e-08,6.95572163735681e-08,-2.15095072360982e-07,5.77485922156803e-08,0.258182145727513,1,0.430831556060634
"social_activities_time.36",8.97707813343529e-08,8.08774383277109e-08,-6.88532824607812e-08,2.48394845129487e-07,0.267164947907583,1,0.433521579837657
"tv_time.37",1.22111571765464e-07,6.56448196589247e-08,-6.63648292852774e-09,2.50859626459455e-07,0.063022218023918,1,0.310373407580147
"video_time.37",1.41390813008413e-07,6.63794471242253e-08,1.12019461136471e-08,2.71579679903179e-07,0.0333036807297521,1,0.310373407580147
"videogames_time.37",-3.781433229518e-08,6.68627936578759e-08,-1.68951178425382e-07,9.33225138350222e-08,0.571769405791884,1,0.642538798221071
"social_activities_time.37",1.51231275871236e-07,7.80424106529041e-08,-1.83196060952729e-09,3.04294512351999e-07,0.0528027692574343,1,0.310373407580147
"tv_time.38",6.3258024515755e-09,1.08073375041964e-07,-2.05636647489824e-07,2.18288252392975e-07,0.953330990137753,1,0.974834696682213
"video_time.38",-3.01323604439976e-08,1.08821022077556e-07,-2.43561157645247e-07,1.83296436757252e-07,0.78188995966446,1,0.830758082143489
"videogames_time.38",-7.97209887069498e-08,1.09979200357e-07,-2.95421301029148e-07,1.35979323615249e-07,0.468623961519982,1,0.563047631215952
"social_activities_time.38",1.7501013098844e-07,1.28243446138175e-07,-7.6511532157739e-08,4.26531794134618e-07,0.172526998519078,1,0.372414019788784
"tv_time.39",9.46397872066497e-08,7.24598691308143e-08,-4.74750409027846e-08,2.36754615316084e-07,0.191686588512405,1,0.383062916072563
"video_time.39",1.2944316384503e-07,7.29731922995127e-08,-1.3678439942573e-08,2.72564767632632e-07,0.0762586941135188,1,0.310373407580147
