White,Black/Afr.Amer.,Hispanic,Asian,Other/Mixed
White,-,-0.238 [-0.413 -0.064],n.s.,-0.733 [-1.120 -0.346],n.s.
Black/Afr.Amer.,0.238 [0.064 0.413],-,0.338 [0.133 0.543],-0.494 [-0.902 -0.087],n.s.
Hispanic,n.s.,-0.338 [-0.543 -0.133],-,-0.832 [-1.233 -0.431],n.s.
Asian,0.733 [0.346 1.120],0.494 [0.087 0.902],0.832 [0.431 1.233],-,0.688 [0.260 1.116]
Other/Mixed,n.s.,n.s.,n.s.,-0.688 [-1.116 -0.260],-
