Model for att_pr,Pearson corr.,Spearman corr.,MSE,MAE,AIC,Df
1,Poisson,0.55400459495982,0.509354595151678,451.448350154408,14.5011536446925,110806.188766817,30
2,Poisson with overdispersion,0.55383468894483,0.509104718295025,451.451904620799,14.501138708298,NA,29
3,Negative Binomial,0.566563642744193,0.524524904378795,450.438774017025,14.5160826172721,90177.9393665201,31
4,Zero Inflated Poisson,0.576693418882096,0.539224770841288,378.087227976766,12.8312291369717,95184.6012843833,47
5,Zero Inflated Negative Binomial,0.570904669230708,0.545705018036572,375.849810158457,12.8076953487214,88392.6115297102,41
