Model for rule_br_bh,Pearson corr.,Spearman corr.,MSE,MAE,AIC,Df
1,Poisson,0.513768881636601,0.447001006835736,479.967980133395,15.4023320553448,66141.9762235746,28
2,Poisson with overdispersion,0.51249532876282,0.446301348044505,479.985566654543,15.4021045818952,NA,26
3,Negative Binomial,0.534977616902439,0.470992143087997,479.288129661788,15.4230840215429,58961.7217431317,28
4,Zero Inflated Poisson,0.54018963711927,0.482934492783078,440.197839278522,14.3303666897015,60210.1923230945,52
5,Zero Inflated Negative Binomial,0.5357179055809,0.507211965016166,439.688574252517,14.32271670778,58337.0698573627,36
