Model for anx_depr,Pearson corr.,Spearman corr.,MSE,MAE,AIC,Df
1,Poisson,0.543424259116742,0.517923517881064,455.547936377802,14.6045538095013,100475.29804336,27
2,Poisson with overdispersion,0.542873663590152,0.517493807618317,455.583587350764,14.6033201025006,NA,14
3,Negative Binomial,0.552711670519073,0.528044248148516,454.774928686834,14.6146267745897,85763.2449623513,16
4,Zero Inflated Poisson,0.553543032232126,0.535349648369179,391.761557667279,13.1157712016514,91650.3581879738,28
5,Zero Inflated Negative Binomial,0.536968569465546,0.544311632237734,389.172228917475,13.0856292410087,84998.1389829567,26
