Model for agg_bh,Pearson corr.,Spearman corr.,MSE,MAE,AIC,Df
1,Poisson,0.574226098937267,0.524785305348105,448.954412667345,14.4423719048296,123828.502000728,29
2,Poisson with overdispersion,0.574685807808317,0.525359008841793,448.948635731721,14.4423396872224,NA,28
3,Negative Binomial,0.587351755779809,0.545550773870076,447.89213411282,14.4588624088781,92398.9056320844,30
4,Zero Inflated Poisson,0.579133194137247,0.549718252736694,365.796664373553,12.6244354863039,105558.581280714,55
5,Zero Inflated Negative Binomial,0.555925420943983,0.558815426083677,362.296602688731,12.585420981703,91287.505091894,55
