Model for cbcl_score,Pearson corr.,Spearman corr.,MSE,MAE,AIC,Df
1,Poisson,0.593972158862509,0.558176358175535,405.705576949369,13.1990037522756,284994.585447474,32
2,Poisson with overdispersion,0.593407686389274,0.557722969808385,405.713403776977,13.1988292541614,NA,28
3,Negative Binomial,0.597940921026013,0.567925824460785,404.426675180244,13.1967151639267,153610.937528974,29
4,Zero Inflated Poisson,0.552039165864611,0.56733713652116,177.710057164273,9.23147403581606,265472.69796387,45
5,Zero Inflated Negative Binomial,0.474709933956655,0.572371370202019,297.000308318224,9.63556427429806,152754.270392904,42
