Model for som_comp,Pearson corr.,Spearman corr.,MSE,MAE,AIC,Df
1,Poisson,0.553474653273371,0.51715615576296,471.525520668434,15.097040821375,73515.6273166952,27
2,Poisson with overdispersion,0.553474653273371,0.51715615576296,471.525520668434,15.097040821375,NA,27
3,Negative Binomial,0.558890205621759,0.52565758685392,470.820795719568,15.1170300657249,67583.3236359042,28
4,Zero Inflated Poisson,0.556380740364127,0.535127449088457,428.697326418105,14.0151243963416,68576.2731318169,39
5,Zero Inflated Negative Binomial,0.532659583052548,0.53948919156878,427.322841906244,14.0007471043757,66880.2668240864,43
