Model for thought_pr,Pearson corr.,Spearman corr.,MSE,MAE,AIC,Df
1,Poisson,0.571526318372571,0.542105861843601,468.933910824539,15.0800122499931,71848.6178366265,27
2,Poisson with overdispersion,0.571526318372571,0.542105861843601,468.933910824539,15.0800122499931,NA,27
3,Negative Binomial,0.577935934119614,0.550434978421128,468.23339793471,15.1210915017585,67076.4909201417,29
4,Zero Inflated Poisson,0.559362608649517,0.558298124853777,417.225674953579,13.8654567490778,67947.7758042144,40
5,Zero Inflated Negative Binomial,0.508936975072702,0.560658855475288,413.866507729604,13.8368136219887,66017.2964287546,41
