"Fitted values"	"Residuals"
1425344.1200111	-25584.1200111039
1401493.0010297	22856.998970295
1544599.25054981	-188309.250549807
1548918.07769475	-114578.077694746
1567914.36764482	-41874.367644818
1579308.11293514	-45138.1129351359
1399712.18028361	-68212.1802836118
1404496.49541996	178853.504580038
1520607.89006478	13692.1099352164
1514210.12642221	9929.8735777879
1572198.93357032	-40328.9335703199
1575586.06744916	25443.9325508365
1394987.35763887	101932.642361129
1379115.1696415	100544.830358496
1373231.31788288	-287021.317882878
1379068.83980106	-57448.8398010571
1476054.08695518	153365.913044824
1475002.74415111	223457.255848889
1579121.89035487	-97371.8903548677
1576915.51980344	-27105.5198034389
1460860.0913031	-79290.0913030995
1427063.79137282	21576.2086271823
1546488.87534089	70411.124659115
1534045.46562549	115894.534374511
1439645.34647485	9224.65352515137
1447115.18842422	108814.811575782
1489984.57606067	-170924.576060672
1488982.50379416	-188272.503794164
1502334.73025508	83955.2697449188
1507230.70488709	51759.2951129098
1426647.55002432	-164117.550024321
1427970.62172885	-204570.621728848
1614004.2253915	206115.774608504
1625461.29735563	266348.702644368
1417042.63486499	205527.365135008
1384064.94396663	323975.056033374
1469932.45206413	-64902.4520641278
1467488.26025927	-73638.2602592677
1566783.34941582	183506.650584183
1579902.93581799	147617.064182008
1525066.0456707	278593.954329297
1519750.50333123	207259.496668774
1569249.40741648	92150.5925835159
1581519.6270104	141250.372989599
1568487.07528359	165722.924716413
1569273.53500818	173466.464991818
1541931.35743207	22668.6425679337
1546986.19021459	13453.8097854096
1523123.70458443	122886.295415568
1521887.02636682	217222.973633177
1450524.55986133	69555.4401386719
1452538.39522691	31891.6047730857
1395335.39706742	-89005.3970674238
1383600.14010614	-123100.140106135
1588593.56854596	157116.431454039
1585162.40325534	173117.596744661
1496792.61659166	134317.383408343
1507926.39308804	205653.606911963
1463169.24092205	110880.759077946
1464524.35056074	69265.649439259
1428683.39649406	145036.603505936
1431273.51284705	94566.4871529451
1427748.91045634	-93358.9104563428
1418631.23507057	-20411.235070568
1510302.18524803	297847.814751973
1480040.11306408	405209.886935922
1472071.56130794	78418.4386920608
1468232.72709027	109877.272909733
1579313.80029413	-30073.8002941312
1585218.36459255	42301.6354074458
1497788.6175083	-117868.617508295
1494876.51484957	-73076.5148495681
1490928.37180735	100511.628192651
1484770.50973807	182239.490261931
1435602.18508678	41167.8149132234
1444430.42547165	-330.425471654185
1359897.36601861	-16007.3660186115
1363702.94979612	53047.0502038784
1322635.10579979	-23005.1057997897
1324519.30124185	-74939.3012418532
1558967.16393845	-143137.16393845
1573448.61918274	-71538.6191827413
1601377.84519396	147622.154806042
1613427.12063917	211022.879360825
1446657.33400192	35482.6659980804
1451600.57521017	-26020.5752101715
1468357.76779152	212882.23220848
1474928.40856644	221681.591433559
1496175.67544167	77934.3245583292
1483342.5744222	140297.425577801
1653404.80305078	38485.1969492246
1647408.04836065	-14918.0483606474
1566031.14871047	-14281.148710469
1570059.78137134	149780.218628663
1497736.30836796	16293.6916320448
1462549.0033247	72160.9966752991
1456641.98172986	272008.018270136
1449947.83419797	289642.165802034
1355324.01159816	265245.988401836
1355071.10638264	270868.893617357
1430554.19139048	71775.8086095231
1439469.60147619	61790.3985238078
1546501.80155806	167698.198441945
1458323.76325556	251446.236744444
1524023.90012152	14226.0998784827
1523659.14537303	-13769.1453730312
1352954.08704536	70635.912954645
1370637.46832779	71872.531672214
1394809.50372491	-481393.503724911
1399573.41730823	-238923.417308235
1528333.45813932	75966.541860685
1558807.96775866	150172.032241342
1560823.26756042	40696.7324395812
1556248.85888804	-103358.858888044
1444930.41685354	-36370.4168535385
1452840.22888767	-21790.228887671
1320925.51161143	263994.48838857
1321384.96600406	190835.03399594
1592298.13579616	239851.864203839
1586045.54323142	263074.456768581
1475491.09891568	-57961.0989156765
1468606.36919277	58173.6308072297
1440673.12599904	-227953.125999044
1443197.50277445	-212007.502774454
1456021.18115343	-100441.181153428
1449310.52717592	-96760.5271759215
1564837.22846349	84712.7715365132
1576757.11060199	86342.8893980082
1407754.99428146	-11244.9942814631
1391226.58972836	-18426.5897283625
1480536.20691826	-125926.20691826
1471527.4719178	-124987.471917799
1447788.44767675	270131.552323248
1442604.72497722	299865.275022781
1412105.914225	149924.085774998
1404371.17167738	250868.828322616
1554934.17180076	269185.828199241
1552752.96830805	239027.031691952
1586570.24731211	-177850.247312113
1587929.05021933	-177039.050219334
1458259.29173555	40870.70826445
1351312.18265323	134157.817346772
1302406.10797452	-225396.107974522
1314354.16302743	-223194.16302743
1442154.1021198	-217314.102119799
1426526.77878713	-111656.778787132
1469433.17556057	111196.824439427
1466251.00792779	-18441.0079277912
1394007.5810388	65122.4189612003
1397979.64999409	73060.3500059063
1561575.21512315	-195235.215123145
1570402.75183597	-204002.75183597
1537470.67781166	-5140.67781166142
1528917.36268254	242.637317463569
1444150.5538722	-151200.553872195
1448485.44340148	-119005.443401482
1441683.81933179	-101993.819331787
1459461.21497995	-80361.2149799542
1279382.90911957	-15962.9091195737
1295976.54480999	-43006.5448099907
1580556.03575449	-14146.0357544903
1583550.70098141	-138630.700981415
1492595.03000234	-150305.030002336
1502051.81654311	-136601.816543113
1553378.71494778	-60308.7149477834
1554099.47384263	1560.52615736939
1465081.08955203	-80631.0895520257
1470382.65087839	-80342.6508783861
1581478.18799722	-55848.1879972215
1578010.24317833	-78440.2431783281
1443557.52759281	178562.472407189
1467169.499614	134400.500386003
1519331.32605769	24308.6739423063
1539770.40898692	6279.59101307609
1468002.87327813	-54022.8732781307
1479837.84343345	-44057.8434334499
1584144.79123529	77995.2087647131
1563072.19431783	51457.8056821672
1447160.58908949	-135950.589089486
1416264.97770466	-117154.977704662
1298778.94599988	186781.054000116
1404716.65206869	40923.3479313096
1473403.77447553	298926.225524472
1478133.72275247	159736.277247533
1350082.6147811	19207.3852188988
1355887.99861702	-43887.9986170191
1288561.23861576	-484640.238615757
1292424.24587637	-102364.24587637
1477391.20725687	-203701.20725687
1471305.92185248	-163635.921852475
1340758.67183383	-31558.6718338272
1323856.12734249	54783.8726575111
1601033.45687852	-151873.456878515
1607645.48264711	-158115.48264711
1582900.0923692	-90160.0923692031
1583774.86594923	169405.134050773
1514485.05879277	-216255.05879277
1519647.53437737	-200597.534377369
1433824.41895295	-97544.4189529474
1451043.95313305	-2663.95313304719
1528649.14083433	230520.85916567
1541126.27776529	196933.722234712
1470408.26939927	246111.730600726
1479372.19261636	226237.807383645
1599153.54624551	-236413.546245514
1606427.46380187	-398727.46380187
1385783.82919812	30566.1708018781
1410283.49157776	413666.508422242
1514737.57353096	-2577.57353096157
1537218.73194766	-3788.73194766129
1293797.89998255	56332.1000174545
1289737.73149774	33482.26850226
1371773.40736221	193116.592637793
1382013.82329116	187326.176708842
1392091.1707662	38978.8292338047
1393913.61514376	52846.3848562422
1317493.16626802	236356.833731979
1328485.57527548	264714.424724521
1356887.423456	37082.5765440047
1339845.14514663	65794.8548533706
1614836.89396951	36853.1060304913
1618461.86060243	125178.139397569
1618554.02779497	-21494.0277949669
1596831.33975681	194998.660243186
1520990.74481738	52039.2551826155
1508170.25568205	93299.74431795
1435092.69153501	164997.308464991
1447811.30655711	132228.693442894
1435299.89424225	41050.1057577486
1431065.61569518	-49005.615695182
1576391.06105429	187468.938945708
1583197.43752697	190722.562473032
1612873.81520564	-57193.8152056383
1606380.05622014	-61050.0562201365
1446258.70813534	14281.2918646599
1455645.60914352	70334.3908564848
1439943.19211719	20016.8078828096
1447940.96130266	-10000.9613026554
1575802.39803923	-87942.3980392282
1584251.02262546	-82721.0226254573
1482637.63098326	-79667.6309832581
1483118.28586319	55001.7141368148
1441012.41824992	-6632.41824991734
1440684.69292293	79665.3070770685
1305680.63434773	-135120.634347728
1307684.46891266	-83444.4689126628
1533548.11899391	-86628.1189939117
1541387.32486941	-85797.324869406
1555795.60505081	61644.3949491892
1568189.93235251	-236099.932352508
1402647.09495455	-51027.0949545518
1410954.88935957	-158744.889359567
1435106.95692857	-53776.9569285715
1417107.9835858	-128327.983585802
1331658.8176389	-33518.817638896
1335892.68977442	-55312.6897744161
1469946.90810167	169333.091898327
1466447.14515429	191972.854845706
1514308.96138487	-206508.961384866
1519628.95353459	-201858.953534585
1537188.05025507	174651.94974493
1545314.31483776	181465.685162244
1411861.43834471	-3751.4383447094
1385258.92274377	105531.07725623
1566325.55324642	-91435.5532464187
1572316.56242408	-13696.562424081
1448933.02323061	-833.023230607734
1452760.54224487	-1130.54224486544
1462434.12358907	111415.876410932
1462174.7259796	231725.2740204
1464839.90098289	67700.099017105
1460281.794564	51818.2054359988
1572270.45434235	95019.5456576517
1573489.47575241	64330.5242475897
1367797.38512981	19572.6148701858
1374430.0091017	30259.990898299
1569703.89271509	87026.1072849074
1586202.60332962	123047.396670383
1601754.43306453	143095.566935468
1603743.44631405	130996.553685946
1407268.67503431	-94348.6750343059
1437067.87538103	-29357.8753810348
1585484.98491231	185535.01508769
1594158.06990123	193651.930098773
1512129.85762271	193300.142377288
1509686.79463934	-10846.7946393436
1426588.28816986	-87968.2881698649
1441582.14650148	-71462.146501484
1407197.09041954	47372.9095804636
1415290.65032232	-5090.65032232015
1575231.1197364	-68001.1197363982
1582748.95584132	-23898.9558413158
1521041.5239027	246308.476097297
1602192.69313551	188167.306864487
1588912.51216172	10027.4878382771
1600576.14715858	110863.852841419
1442177.95241372	-87457.9524137228
1454877.85452337	-55347.8545233737
1509051.74452311	26798.2554768913
1515308.17490913	46191.8250908722
1545534.3556932	-20224.3556931962
1564979.0229485	10370.9770514997
1398698.2766136	47891.7233864016
1373425.780881	3264.21911899947
1284338.36038691	145261.639613091
1218557.9846428	169192.015357197
1539647.07520063	113512.924799368
1549964.70064829	147485.299351706
1586621.450511	-168421.450510996
1595046.06445658	-73656.0644565801
1575684.99535437	61115.0046456273
1569121.32973479	14328.670265214
1573487.2222694	-7377.22226940179
1568610.24866638	-50780.2486663755
1423730.89175115	-3640.89175115182
1430216.36784329	9833.6321567071
1483396.04411457	-307386.044114575
1493251.74093654	-301261.740936536
1530171.82639825	120708.173601746
1541111.04201963	49878.9579803705
1435756.05333884	-67876.0533388404
1439716.07639049	-59736.0763904919
1595124.42876589	-16404.4287658908
1593887.04526173	4022.95473826707
1629057.13847946	-97757.1384794583
1622238.37353688	-76708.3735368779
1449003.5151867	77446.4848133012
1458873.73428312	43586.2657168848
1531630.72027576	-111920.720275762
1573294.02934244	-128934.029342444
1565054.10292099	-111014.102920988
1569348.65771478	-101848.657714781
1385409.3831475	-185229.383147498
1360256.29826202	-34146.2982620204
1449639.36760527	193210.632394732
1456828.89832825	158001.101671747
1572034.25080402	95725.749195975
1579684.31843189	136885.68156811
1379653.73477566	-131063.734775658
1388958.23896334	-134578.238963337
1566008.58899946	-79428.5889994584
1565478.47736524	-92828.4773652359
1556166.36992561	-181276.36992561
1558368.03698076	-169978.036980765
1415236.84730417	-41856.8473041682
1406013.39122792	28196.6087720768
1504239.4876509	172780.512349102
1512395.36961526	132734.630384738
1425989.80525459	158280.194745413
1437521.9586664	150008.041333599
1524573.73070167	78856.2692983286
1530843.50184076	87686.4981592375
1424503.77034606	-208793.770346064
1417882.02717047	-134512.027170465
1490084.13015374	180265.869846261
1459837.76270236	262702.237297644
1406705.33961465	-77475.339614649
1402097.12417353	-34507.1241735306
1447515.96961583	13134.0303841742
1437128.07531988	68001.9246801229
1408869.75901417	61750.2409858342
1387247.87035753	29072.1296424658
1474404.39295726	29345.6070427389
1468305.69507013	57034.3049298704
1617728.77917745	8051.22082254647
1621879.9249082	50120.0750918008
1381520.23161736	-196880.231617359
1395113.09986529	-330283.099865288
1293930.83119349	-352590.831193493
1193176.47369389	229383.52630611
1540677.11076013	-367597.110760134
1533132.08683752	-299212.086837525
1313522.47404979	10027.5259502132
1312454.06921944	-4124.06921943859
1444518.55224764	14681.4477523574
1443316.22433433	-45286.2243343301
1431074.37172338	-69294.3717233834
1438533.83903794	106706.160962059
1426320.36587546	-256610.365875459
1414194.65517832	-212184.655178323
1382892.69403106	-22932.6940310634
1376783.53100031	43706.468999694
1459392.88985464	-94132.8898546414
1467068.39931524	-464588.399315236
1531762.10901548	-192792.109015482
1543362.35765947	-156242.357659473
1594972.6722919	-159982.672291896
1579867.5123093	-96797.5123092972
1525504.34984183	96615.6501581747
1520062.33242282	242467.667577183
1434956.17463677	131113.825363226
1444814.18673159	197085.813268405
1458125.17439826	24224.8256017381
1461903.69999785	41356.3000021479
1444975.80422901	-49845.804229005
1454444.04711486	53125.9528851439
1541624.13015917	-167014.130159165
1548530.16789684	-164580.167896843
1612129.86748286	20400.1325171442
1601233.63454298	-25763.6345429824
1519216.60091193	-130536.600911931
1513033.17685918	-81713.1768591828
1430163.89513645	4006.10486354842
1423885.0557352	-402465.055735199
1451102.24579551	-54802.2457955121
1451229.38547385	-69319.3854738475
1566976.59545443	-128456.595454429
1576726.27024973	-165906.270249731
1485320.37316992	91429.6268300837
1493769.68824612	117470.311753875
1583469.90390441	108530.096095594
1591693.119226	50956.8807740032
1632925.88005869	-190565.880058689
1641087.46871546	-176877.468715457
1402234.24249708	114295.757502924
1339903.45677958	155826.543220421
1514433.61665589	127236.383344111
1531851.27449664	41668.7255033598
1404685.99362655	114864.006373448
1425040.27314157	143279.72685843
1433406.301602	-51106.301601996
1442146.14720283	-52326.1472028325
1529164.05850671	242545.941493286
1532376.66353185	107393.336468148
1506082.44965917	79377.5503408262
1517627.00029245	159932.999707551
1573106.03582373	249203.964176272
1588243.15208208	340246.847917923
1454658.60810264	179701.391897355
1459931.60865953	110338.391340472
1599406.54269169	-54316.5426916905
1601890.25186216	96239.7481378416
1570685.13550449	-30055.1355044898
1578490.03351446	-17380.033514463
1374505.07011653	37324.9298834659
1365223.60283941	80496.3971605859
1596944.36754189	-166674.36754189
1596202.60718026	-175052.607180257
1599192.78667053	94357.2133294737
1592770.5556343	57639.4443656995
1498803.45375559	-87303.4537555945
1509470.54434279	-84440.5443427948
1565359.09612768	-93419.0961276789
1569154.90396451	-103694.903964508
1489888.39078558	491.609214418591
1498369.92808582	19300.0719141796
1608705.43721737	131804.562782627
1615090.15415449	188909.84584551
1426382.26759015	-36822.2675901535
1431093.76012141	-85063.7601214096
1275102.20091479	-63782.2009147934
1258896.64776989	-102746.647769887
1467052.4156971	24127.5843029012
1463033.60485661	75456.3951433895
1283596.82579751	150113.174202487
1211307.75046016	311302.249539842
1418451.38629823	-236131.386298234
1416289.85748301	-218929.857483008
1455952.9404005	-198922.940400498
1447559.43045388	-206939.430453878
1587100.6620833	-26620.6620832952
1573506.8841682	99803.1158318033
1511966.68665606	-290296.686656063
1515174.45187591	-321944.451875912
1486125.38049065	-35715.3804906482
1461782.70540433	33857.2945956676
1468409.13414103	-134019.134141031
1479663.22580409	-133663.22580409
1564181.38101666	98888.6189833405
1575745.85597704	158024.144022957
1612854.38441494	-178614.384414944
1598430.81062303	-265380.810623029
1458529.2621905	-111729.262190497
1454024.48559154	-67054.4855915376
1610627.70329264	-142827.703292636
1608626.59604609	-118476.596046092
1355986.55199996	-232476.551999962
1356392.3992543	-194522.399254298
1377184.17446406	-127574.174464062
1375286.18729214	-143596.187292138
1361872.65885044	-26172.6588504355
1333118.02122238	78121.9787776156
1377728.5447476	-42278.5447476
1391676.41042475	-19616.4104247475
1523281.17988614	132118.820113863
1536086.11965966	261383.880340342
1489867.72002513	-6577.7200251298
1601521.60397195	-110291.603971946
1568693.23804672	242546.761953285
1546640.99408205	175519.005917948
1478017.71842084	-26587.7184208448
1497335.78677314	-41265.78677314
1438664.86289704	-131924.862897036
1427105.23287278	-42975.2328727776
1548847.78687113	-165507.786871129
1562782.34045985	-139362.340459852
1539379.21472081	94470.7852791909
1532134.02772241	80185.9722775917
1540066.52056605	161173.479433947
1537228.53073675	156031.46926325
1603048.88973957	37931.1102604316
1591590.34549492	206749.654505083
1378020.22327786	-151940.223277863
1378647.35693081	-113627.35693081
1482403.20314694	-42473.2031469413
1489549.72492842	90510.2750715828
1601483.59710528	264866.402894717
1605893.59310045	198976.406899545
1392476.06760172	-286726.067601723
1391039.23946753	-255599.239467525
1630836.74363496	-41416.7436349603
1632217.85100503	38912.1489949704
1330193.07229453	186.927705473332
1325548.53317673	53121.4668232681
