White,Black/Afr.Amer.,Hispanic,Asian,Other/Mixed
White,0,-0.42798574843168,-0.232369313972453,0,0
Black/Afr.Amer.,0.427983284379447,0,0,0,0.505173749124399
Hispanic,0.232340384335624,0,0,0,0.30953648717116
Asian,0,0,0,0,0
Other/Mixed,0,-0.505095128774973,-0.30954538482641,0,0
