White,Black/Afr.Amer.,Hispanic,Asian,Other/Mixed
White,0,0.070805150491831,0.097323420216813,0.370206295281182,0
Black/Afr.Amer.,-0.0708051318904553,0,0,0.299400092897196,0
Hispanic,-0.0973233109017754,0,0,0.272882902399061,0
Asian,-0.370205230424712,-0.299398608398386,-0.272881274770546,0,-0.335751860023805
Other/Mixed,0,0,0,0.335755457139399,0
