Model for social_pr,Pearson corr.,Spearman corr.,MSE,MAE,AIC,Df
1,Poisson,0.571724382331846,0.519609662122013,470.05361682111,15.0876644708295,77728.5085421417,30
2,Poisson with overdispersion,0.571064092980454,0.517912560882845,470.06099231548,15.0877097735683,NA,27
3,Negative Binomial,0.581026880171086,0.53356701029721,469.209156078925,15.1141113569145,68242.9583392971,29
4,Zero Inflated Poisson,0.578343648404862,0.54227180546355,424.118800949767,13.964483239941,70883.5710356039,48
5,Zero Inflated Negative Binomial,0.550142365686833,0.552196865855312,421.697770988264,13.942822303701,67637.9798807555,39
